SMILES,bacteria,MIC (µg/mL),MIC (µmol/mL),log MIC,S. aureus,molar_mass
N=1C=NC(=C2N=CN(C12)CC3=NC=4C=CC=CC4N3CCCCCC)N5CCOCC5,"MRSA, Methicillin-Resistant Staphylococcus aureus N315",16.0,0.03813764352267875,1.581353855025819,+,419.5330000000004
N=1C=NC(=C2N=CN(C12)CC3=NC=4C=CC=CC4N3CCCCCCCC)N5CCOCC5,"MRSA, Methicillin-Resistant Staphylococcus aureus N315",512.0,1.1439116864430814,3.0583924968600327,+,447.5870000000005
N=1C=NC(=C2N=CN(C12)CC3=NC=4C=CC=CC4N3CCCCCCCCCC)N5CCOCC5,"MRSA, Methicillin-Resistant Staphylococcus aureus N315",256.0,0.5382210532733714,2.7309606817993854,+,475.6410000000006
N=1C=NC(=C2N=CN(C12)CC3=NC=4C=CC=CC4N3CCCCCCCCCCCC)N5CCOCC5,"MRSA, Methicillin-Resistant Staphylococcus aureus N315",512.0,1.0164881525526346,3.007102321182616,+,503.6950000000007
N=1C=NC(=C2N=CN(C12)CC3=NC=4C=CC=CC4N3CCCCCCCCCCCCCCCC)N5CCOCC5,"MRSA, Methicillin-Resistant Staphylococcus aureus N315",512.0,0.9146074601243643,2.961234739443124,+,559.8030000000006
N=1C=NC(=C2N=CN(C12)CC3=NC=4C=CC=CC4N3CC=C)N5CCOCC5,"MRSA, Methicillin-Resistant Staphylococcus aureus N315",512.0,1.3637477492834988,3.134734046841448,+,375.43600000000026
C#CCN1C(=NC=2C=CC=CC21)CN3C=NC=4C3=NC=NC4N5CCOCC5,"MRSA, Methicillin-Resistant Staphylococcus aureus N315",512.0,1.3711102779711846,3.1370723863637617,+,373.4200000000002
N=1C=NC(=C2N=CN(C12)CC3=NC=4C=CC=CC4N3CC=5C=CC=CC5)N6CCOCC6,"MRSA, Methicillin-Resistant Staphylococcus aureus N315",256.0,0.6016507793257747,2.7793444835847634,+,425.49600000000027
FC=1C=CC=CC1CN2C(=NC=3C=CC=CC32)CN4C=NC=5C4=NC=NC5N6CCOCC6,"MRSA, Methicillin-Resistant Staphylococcus aureus N315",256.0,0.5772448284726008,2.761360050769165,+,443.4860000000003
FC1=CC=CC(=C1)CN2C(=NC=3C=CC=CC32)CN4C=NC=5C4=NC=NC5N6CCOCC6,"MRSA, Methicillin-Resistant Staphylococcus aureus N315",512.0,1.1544896569452017,3.0623900464331464,+,443.4860000000003
